,roles,companies,locations,experience,skills,Dates,PresentDate,salary
531,Lead Electrical Commissioning Engineer,CAI,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-14 Yrs,SwitchgearTest scriptsScript writingqaqcSATIssue resolutionconstruction siteVendor,30+ Days Ago,2024-11-24,Not disclosed
532,Senior Frontend Developer,Osmf,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,ProcurementBackendFront endWordpressInventory managementE-commerceCustomer supportTest cases,30+ Days Ago,2024-11-24,Not disclosed
533,Domestic Sales Manager,Medilivescare Manufacturing,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,SurgicalDomestic salesDomesticSalesManagement,30+ Days Ago,2024-11-24,Not disclosed
534,UI/UX Designer,Bioworx,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,Software designWeb technologiesIllustratorTime managementMobile applicationsPhotoshopTroubleshootingTime,30+ Days Ago,2024-11-24,Not disclosed
535,Database Administrator (DBA),Norah Clinical Solution,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,BackendMedical billingData managementCodingDatabase designDatabase administrationDatabaseHealthcare,30+ Days Ago,2024-11-24,Not disclosed
536,Developer SAAS,Essel Environmental,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,PayrollBackendCodingSAASProgrammingPHPMonitoringTesting,30+ Days Ago,2024-11-24,Not disclosed
537,Fire Officer,Hsseq Global,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,SupervisorTrainingAdministrationFire preventionComplianceManagementFire safetyFire,30+ Days Ago,2024-11-24,Not disclosed
538,Operations Incharge,Vaidyaratnam Oushadhasala,"Mumbai(Chembur), Bengaluru",3-5 Yrs,Administration ManagementPromotional CampaignsCoordinationManpower ManagementLeadership SkillsCampaignsLeadershipPromotional,7 Days Ago,2024-11-24,4.75-5.5 Lacs PA
539,Area Lead (Network),Fledge Healthtech,"New Delhi, Bengaluru, Mumbai (All Areas)",2-3 Yrs,Network DevelopmentPharmacy OnboardingInventory and Invoicing ManagementReporting and AnalysisRelationship BuildingSales and Marketing CollaborationOrder FulfillmentReporting,16 Days Ago,2024-11-24,Not disclosed
540,Medical Coders,Genus Healthcare Solution And It Consulting,"Noida, Mumbai, Bengaluru",1-6 Yrs,PathologyIVRCardiovascularAnesthesiaHRMedical codingHrsdMedical,30+ Days Ago,2024-11-24,Not disclosed
541,Medical Biller / Account Receivables,Genus Healthcare Solution And It Consulting,"Noida, Kolkata, Mumbai, Mohali, Visakhapatnam, Hyderabad, Coimbatore",1-3 Yrs,accounts receivableus healthcareclaims adjudicationcash postingbillinghealthcareexcelcharge posting,30+ Days Ago,2024-11-24,Not disclosed
542,REGISTRAR-GENERAL & LAPAROSCOPIC SURGERY,MAR Sleeva Medicity Palai,Pune,0-2 Yrs,PDFRegistrarDNBTestingMARLaparoscopyMarsSurgery,2 Days Ago,2024-11-24,Not disclosed
543,Commercial Development Manager,Sartorius,"Mumbai, New Delhi, Hyderabad, Bengaluru",3-5 Yrs,Lead generationManufacturing processField salesLife sciencesCustomer relationshipGrowth strategyManagementMS Office,9 Days Ago,2024-11-24,Not disclosed
544,Tender Application Specialist - Healthcare,Bilcare Limited,Pune,3-8 Yrs,Tender ManagementComplianceContract ManagementBid EvaluationTechno-commercialMarket ResearchStakeholder ManagementApplication,1 Day Ago,2024-11-24,Not disclosed
545,Consultant Gynecologist/ IVF Consultant,Indira Ivf Hospital,"Hyderabad, Mysuru, Pune",0-5 Yrs,GynecologistGynecologyObstetricsObstetrics And GynaecologyConsultingIvf,15 Days Ago,2024-11-24,16-22.5 Lacs PA
546,Regional Business Manager -Acute Segment,Cipla,"Ghaziabad, Thane, Mumbai (All Areas)",4-8 Yrs,Team HandlingRegional Sales ManagerPharmaceutical Salesregional managerRegional Business ManagerRegional SalesPharma MarketingSales,24 Days Ago,2024-11-24,Not disclosed
547,Scientific Business Manager - Oncology,Cipla,"Kolkata, Pune",3-8 Yrs,SalesOncologyBusiness DevelopmentPharmaceutical SalesManagementPharmaceuticalBusiness managementScience,12 Days Ago,2024-11-24,Not disclosed
548,Senior Test Engineer,Philips,Pune,5-8 Yrs,Product qualityChange managementSAPISOLean manufacturingUSBDiversity and InclusionHealthcare,12 Days Ago,2024-11-24,Not disclosed
549,ALM Developer,Compliance Hub,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,ALM DeveloperDebuggingSDKAlmDevelopment,30+ Days Ago,2024-11-24,Not disclosed
550,Associate Project Manager (Global Clinical Supplies),Thermo Fisher Scientific,"Mumbai, Delhi / NCR, Bengaluru",4-7 Yrs,Project Managementc++cwindows xpbusiness analysisphotoshopsketchupframemaker,10 Days Ago,2024-11-24,Not disclosed
551,Requirement of Doctors & Nurse For Medicant Hospital - Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Pune,5-10 Yrs,neurologyPlastic SurgeryPediatricsPathologistdermatologistsurgeonNeonatologyGeneral Medicine,9 Days Ago,2024-11-24,Not disclosed
552,Data Engineer -III,Thermo Fisher Scientific,"Mumbai, Bengaluru",7-9 Yrs,SQLdata bricksdata analyticstechnical leadershipCCA SparkPower BIAWS Certified Data Analyticsdata engineering,11 Days Ago,2024-11-24,Not disclosed
553,Territory Sales Manager - Trade -,Abbott,Pune,3-15 Yrs,TradeProject salesDistribution managementSales planningComplianceBusiness planningmarket dataBusiness strategy,15 Days Ago,2024-11-24,Not disclosed
554,Q&R Manager,Philips,Pune,8-10 Yrs,Product qualityMedical devicesComplianceOrganizational developmentQuality systemsProcess improvementDiversity and InclusionHealthcare,11 Days Ago,2024-11-24,Not disclosed
555,Anesthesia & Intensivist For Mumbai & Bangalore,Quadrangle,"Mumbai, Bangalore Rural, Bengaluru",0-5 Yrs,AnesthesiaCritical CareIntensive Careintensivist,12 Days Ago,2024-11-24,Not disclosed
556,Sr. Manager / Manager - IT Applications,Tata Cancer Care Foundation,"Mumbai, Tirupati, Ranchi",12-14 Yrs,Delivery managementHRMSERPDigital electronicsHIMSFinancial managementData analyticsInformation management,30+ Days Ago,2024-11-24,Not disclosed
557,Officer - Business Operations,Lupin,Mumbai,2-7 Yrs,TrainingQuery managementBusiness operationsQueryManagementOperations,29 Days Ago,2024-11-24,Not disclosed
558,Service Engineer,Randstad,"Mumbai, Mumbai (All Areas)",2-7 Yrs,service engineerIABPMedical DevicesBiomedicalInstallationHealth Care ServicesDemonstrationIntra Aortic balloon pump,25 Days Ago,2024-11-24,Not disclosed
559,Veterinary Doctor,Vetic,"Bengaluru, Mumbai (All Areas)",0-2 Yrs,animal anatomyMedicineSurgeryGeneral MedicinePhysiologyGeneralAnatomyVeterinary,14 Days Ago,2024-11-24,Not disclosed
560,Data Scientist,Abbott,Mumbai,2-6 Yrs,Business processIT servicesMedical devicesWeb technologiesManager TechnologyIndividual ContributorApplication softwareApplication,29 Days Ago,2024-11-24,Not disclosed
561,Area Business Manager,Abbott,Mumbai,5-9 Yrs,Marketing programsCustomer managementMarketing analyticsPeople developmentNutritionBusiness analyticsChannel salesBusiness intelligence,30 Days Ago,2024-11-24,Not disclosed
562,Area Business Manager,Abbott,Mumbai,5-8 Yrs,Marketing programsCustomer managementMarketing analyticsPeople developmentNutritionBusiness analyticsChannel salesBusiness intelligence,30 Days Ago,2024-11-24,Not disclosed
563,Psychology & Outreach - Program Coordinator,Mpower - Aditya Birla Education Trust,Mumbai(Worli),3-8 Yrs,psychologyWorkshop ManagementSeminarsPersonality DevelopmentConferencescommunication skillsDevelopmentProgram Coordination,16 Days Ago,2024-11-24,Not disclosed
564,Prior Auth Executive with coding knowledge,Indus Medica Management Services Pvt. Ltd.,"Hybrid - Bangalore/ Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-7 Yrs,ambulatory surgical centerCPCPre-authpain managementPrior AuthorizationAuthorizationCcsreferrals,5 Days Ago,2024-11-24,Not disclosed
565,"Floor Manager - Ghaziabad , Mumbai ( Lower Parel / Jogeshwari )",Eye Hospital,"Ghaziabad, Mumbai (All Areas)",3-4 Yrs,HospitalHospital OperationsOperationsEye ClinicFloor ManagerEyeFloor managementManagement,25 Days Ago,2024-11-24,Not disclosed
566,Assistant Manager - Talent Acquisition (Pharma),Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",4-6 Yrs,Pharmaceuticalpharma recruitmentTalent AcquisitionStaffingEnd To End RecruitmentSourcingpharma staffingRecruitment,16 Days Ago,2024-11-24,Not disclosed
567,Senior Executive - TP FG Sourcing (International),Alkem Laboratories,Mumbai,5-8 Yrs,ProcurementFormulation BusinessInternational SourcingContractingThird Party ProcurementNew Product DevelopmentThird partyFormulation,30 Days Ago,2024-11-24,Not disclosed
568,Hiring For Manager Accounts Mumbai (CA),Apeejay Stya Group,Mumbai,5-10 Yrs,Account ManagementGstService TaxTDSDirect TaxTaxationFinancial ManagementIndirect Taxation,Few Hours Ago,2024-11-24,Not disclosed
569,Manager,Lupin,Mumbai,5-6 Yrs,Market analysisSalesTrade marketingLife sciencesMarketing LeadManagementMarketing budgetMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
570,Area Business Manager -Acute Segment,Cipla,"Hubli, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,Pharma SellingTeam HandlingMRArea Sales ManagementAbmPharmaceutical SalesSalesBusiness management,24 Days Ago,2024-11-24,Not disclosed
571,Manager - Lupin Life Sciences (Analytics Lead),Lupin,Mumbai,4-5 Yrs,SalesProduct portfolioMarketing campaignsLife sciencesMarket penetrationForecastingAnalyticsMonitoring,30+ Days Ago,2024-11-24,Not disclosed
572,Business Development Managers,Lifetime Wellness Rx International,"Mumbai, Delhi, Ahmedabad, Chennai, Bengaluru",10-12 Yrs,Team managementNetworkingBusiness Development ManagerPharmacyCorporateVASDeploymentMS Word,30+ Days Ago,2024-11-24,Not disclosed
573,"Associate Manager, Medical Communications and Content Solutions",Pfizer,Mumbai,2-5 Yrs,excelliterature searchdata analysispublication writingcommunication managementpowerpointresearchcommunication skills,24 Days Ago,2024-11-24,Not disclosed
574,Interventional Cardiologist(DM/DNB),People Alliance Workforce,"Jaipur, Delhi / NCR, Mumbai (All Areas)",0-5 Yrs,AngiographyInterventional CardiologyAngioplastycoronaryInterventionalDMDNBCath Lab,5 Days Ago,2024-11-24,Not disclosed
575,Emergency Physician For Bangalore & Mumbai,Quadrangle,"Bangalore Rural, Bengaluru, Mumbai (All Areas)",0-5 Yrs,Emergency MedicineMememergency physicianDemMedicineEmergency,12 Days Ago,2024-11-24,Not disclosed
576,Manager - HR Technology,Lupin,Mumbai,3-7 Yrs,Process designSolution designAutomationData managementProject managementManager TechnologyHRProject delivery,26 Days Ago,2024-11-24,Not disclosed
577,Customer Care Executive,M/S Evyavan Premier,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",0-4 Yrs,Customer care ExecutiveInbound ProcessCustomer RelationshipCustomer SupportCustomer ServiceSolving QueriesCustomer CareDomestic BPO,17 Days Ago,2024-11-24,"50,000-3 Lacs PA"
578,Injectable Technical Training Specialist / Senior Manager,Sun Pharma,Mumbai,15-24 Yrs,ParenteralSterileInjectablesVaccinesInjectionSubject Matter Expertise,2 Days Ago,2024-11-24,Not disclosed
579,Administrative Expert / Professional,Novartis,Mumbai,3-7 Yrs,Deal structuringAdministrationTime managementFocusManagementContinuous improvementSupervisionTime Managements,2 Days Ago,2024-11-24,Not disclosed
580,Regional Business Manager,Novartis,Mumbai,11-20 Yrs,SalesPerformance managementNetworkingCardiovascularBrand strategyPharmaHealthcareAdvocate,2 Days Ago,2024-11-24,Not disclosed
581,Associate - Vaccines - Chandigarh,Abbott,Mumbai,2-5 Yrs,Customer managementBrand managementPharmaMarket intelligenceBusiness planningCMEBusiness strategyMerchandising,30+ Days Ago,2024-11-24,Not disclosed
582,Plant Operator,Blue Jet Healthcare,Mumbai,2-5 Yrs,CentrifugeSSRReactorsGLROperatingPlantPlant operations,4 Days Ago,2024-11-24,1-3 Lacs PA
583,Business Officer,Zuventus Healthcare,Mumbai,1-4 Yrs,Payment collectionSalesCollectionsPayments,1 Day Ago,2024-11-24,Not disclosed
584,Senior Manager - 2,Sun Pharma,Mumbai,3-7 Yrs,Supply chainMarket analysisDemand planningSalesMarket intelligenceCustomer serviceForecastingOperations,1 Day Ago,2024-11-24,Not disclosed
585,Area Business Manager- Multispeciality - Mumbai (Navi Mumbai),Zuventus Healthcare,Remote,2-4 Yrs,Selling skillsCommunication skillsScientific KnowledgeAbility to influenceTeam managementSellingProblem solvingAnalytical ability,1 Day Ago,2024-11-24,5.5-7.5 Lacs PA
586,Opening For AM - Branding - Apollo Hospitals,Apollo Hospitals,Navi Mumbai,5-8 Yrs,Brand ManagementMedia ManagementMedia RelationsMedia PlanningMarketing CommunicationPlanningCommunication skillsMedia Relation,1 Day Ago,2024-11-24,5-8 Lacs PA
587,Opening For Consultant - Anesthesia - Apollo Hospitals,Apollo Hospitals,Navi Mumbai,3-7 Yrs,AnesthesiologyMd AnaesthesiaICUConsultingHospitalAnesthesia,1 Day Ago,2024-11-24,25-35 Lacs PA
588,Analyst II Medical Coder - Mumbai/Bangalore/Hyderabad,Cilag,Mumbai,1-4 Yrs,ProcurementStatistical programmingCROMedical codingPharmaData analyticsContinuous improvementMedical writing,3 Days Ago,2024-11-24,Not disclosed
589,Clinical Administrator,Kokilaben Dhirubhai Ambani Hospital,"Mumbai, Mumbai Suburban",1-6 Yrs,Clinical AdministrationPatient CareHospital AdministrationClinical OperationsMedical OperationsStaff ManagementPlanningNABH,30+ Days Ago,2024-11-24,1.25-5 Lacs PA
590,Area Business Manager - Thane (Cardio-Diabetic Segment),Zuventus Healthcare,Remote,2-6 Yrs,Selling SkillsCommunication skills Presentation skillsScientific KnowledgePresentation SkillsInfluencingScienceSellingManagement,1 Day Ago,2024-11-24,5.5-7.5 Lacs PA
591,Manager - Digital Marketing LupinLife,Lupin,Mumbai,4-5 Yrs,OutboundOnline promotionMINdigital campaignsSocial networkingMarketing campaignsManager TechnologyManagement,30+ Days Ago,2024-11-24,Not disclosed
592,Analyst II EDC Data Acquisition Expert - Mumbai/Bangalore/Hyderabad,Cilag,Mumbai,2-6 Yrs,ProcurementCROCodingGCPPharmaContinuous improvementRisk managementPrincipal,3 Days Ago,2024-11-24,Not disclosed
593,Manager-Quality Control,Abbott,Mumbai,3-8 Yrs,PharmaManager Quality Controlquality operationsControlQuality managementQualityQuality controlManagement,30+ Days Ago,2024-11-24,Not disclosed
594,Technician - Laboratory Medicine,Apollo Hospitals,Navi Mumbai,5-6 Yrs,molecular biologycytologypathologylab testingsoftware testingblood bankclinical chemistrymicrobiology,2 Days Ago,2024-11-24,Not disclosed
595,Senior Clinical Data Scientist,Novartis,Mumbai,5-10 Yrs,Interpersonal skillsNursingOperational excellenceGCPProgrammingContinuous improvementUser acceptance testingClinical data management,2 Days Ago,2024-11-24,Not disclosed
596,Senior Clinical Project Manager,Klinera Global Services Inc,Mumbai,4-9 Yrs,ICH-GCPProject ManagementClinical OperationsTeam ManagementClient Relationship ManagementSite MonitoringMonitoringRelationship management,3 Days Ago,2024-11-24,Not disclosed
597,Jr. Executive - Gem Portal,Eclipse Prism Medical Devices,Navi Mumbai,1-3 Yrs,Gem PortalTender DocumentationBiddingProposalsTenderingGemsJrssDocumentation,7 Days Ago,2024-11-24,3-4.8 Lacs PA
598,Marketing Executive,Eclipse Prism Medical Devices,Navi Mumbai,2-4 Yrs,Medical DevicesMedical Equipment SalesMedical EquipmentSalesMarketingDevicesMedicalEquipment Sales,7 Days Ago,2024-11-24,3.96-6.96 Lacs PA
599,Territory Business Manager,Abbott,Mumbai,1-5 Yrs,Analytical skillsMedical devicesPharmaRelationship buildingCorporateBusiness planningHealthcareCME,30+ Days Ago,2024-11-24,Not disclosed
600,Opening For Clinical QC team,Raptim Research,Navi Mumbai,3-8 Yrs,Clinical QCCRFStudy ProtocolRegulatorySponsor AuditTeamProtocolsQC,8 Days Ago,2024-11-24,Not disclosed
601,Senior Territory Sales Executive,Abbott,Mumbai,2-4 Yrs,Stock replenishmentNutritionComplianceinduction trainingManagement systemsBusiness strategyMerchandisingForecasting,30+ Days Ago,2024-11-24,Not disclosed
602,Assistant Manager Customer Marketing,Abbott,Mumbai,1-5 Yrs,Analytical skillsTrainingAutomationExcelcustomer marketingComplianceNutritionField force management,30+ Days Ago,2024-11-24,Not disclosed
603,Medical Director/COO/CEO/facility Director/CMO,People Alliance Workforce,"Ahmedabad, Jaipur, Mumbai (All Areas)",10-20 Yrs,Hospital AdministrationCEODIRECTORMedical DirectorAdministrationHealth Care ServicesCOOBusiness heads,Few Hours Ago,2024-11-24,Not disclosed
604,Field Application Specialist Separation Technology,Sartorius,Mumbai,5-8 Yrs,Product managementTeam managementSalesCustomer supportBiochemistryApplication developmentProduct designTroubleshooting,11 Days Ago,2024-11-24,Not disclosed
605,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Navi Mumbai,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
606,Urgent Opening For Nurses -Medicant Hospital Bokaro,Medicant Hospital And Research Centre Private Limi Ted,Mumbai,1-6 Yrs,B.scGNMNursingPediatricsOPDSurgicalCardiacGynecology,10 Days Ago,2024-11-24,Not disclosed
607,Manager - GSCM (Project Management),Lupin,Mumbai,8-10 Yrs,ProcurementFormulation developmentcqaProject trackingPharmaAnalyticalProject managementLegal,30+ Days Ago,2024-11-24,Not disclosed
608,Assistant Manager Placements,Tech Mahindra SMART Academy,"Mumbai, Navi Mumbai",3-6 Yrs,Corporate relationsStudent counselingNursingData managementMISMS Office toolsHealthcareUPS,16 Days Ago,2024-11-24,Not disclosed
609,Business Head - Clean Energy,Thermo Fisher Scientific,Mumbai,15-20 Yrs,Key Account Managementmarketingstrategic relationshipscustomer carestrategy executionlife scienceskey accountsaccounting,10 Days Ago,2024-11-24,Not disclosed
610,Manager Accounts- Mumbai & Kolkata,Apeejay Stya Group,"Kolkata, Mumbai (All Areas)",4-9 Yrs,Accounts ReceivableAccounts PayableCost AccountingFinancial ReportingFinancial AccountingCompliance ManagementAccounts ReconciliationFinancial Management,1 Day Ago,2024-11-24,Not disclosed
611,Lead Customer Care Engineer,Thermo Fisher Scientific,Mumbai,6-11 Yrs,Customer Careenvironment monitoringCustomer trainingpayment collectionsProcess ComplianceInvoicingISO audit complianceMonitoring,14 Days Ago,2024-11-24,Not disclosed
612,Associate Consultant / Sr Associate Consultant,Kokilaben Dhirubhai Ambani Hospital,Mumbai,5-10 Yrs,SupervisorQuality improvementHematologyintensive carePain managementHealthcareOncologyDNB,30+ Days Ago,2024-11-24,Not disclosed
613,Data Quality Specialist,Thermo Fisher Scientific,Mumbai,5-7 Yrs,Data Qualityquality analysisdata studiodata managementquality managementdata sciencequality improvementquality tools,10 Days Ago,2024-11-24,Not disclosed
614,Business Intelligence Analyst,Thermo Fisher Scientific,Mumbai,8-10 Yrs,Business IntelligenceAWS DatabricksSAPData Engineeringdata modelingdata reportingCognosOracle,12 Days Ago,2024-11-24,Not disclosed
615,Corporate Account Manager,Thermo Fisher Scientific,Mumbai,7-10 Yrs,Corporate Account Managementb2b saleschannel saleschannel managementretail salessalesaccount managementAccounting,11 Days Ago,2024-11-24,Not disclosed
616,Sr Procurement Specialist,"PerkinElmer, Inc.",Mumbai,5-8 Yrs,ProcurementData analysisSAPBiddingOperational excellenceAnalyticalHealthcareMarket research,30+ Days Ago,2024-11-24,Not disclosed
617,Manager - Customer Service,Abbott,Mumbai,1-6 Yrs,Supply chainWarehousePurchaseNutritionAdministration StaffInventory managementForecastingOperations,18 Days Ago,2024-11-24,Not disclosed
